"","Colony","Drug","Box","Weight","Length","Score","Reproductive","Batch"
"1","N1","Decitabine","N1A1",0.0064,0.7162,1,"Sterile","1"
"2","N1","Decitabine","N1A1",0.0158,1.2485,3,"Reproductive","1"
"3","N1","Decitabine","N1A1",0.0083,1.3977,3,"Reproductive","1"
"4","N1","Decitabine","N1A1",0.0218,1.4007,3,"Reproductive","1"
"5","N1","Decitabine","N1A1",0.0222,1.8463,4,"Reproductive","1"
"6","N1","Control","N1B1",8e-04,0,0,"Sterile","1"
"7","N1","Control","N1B1",0.0318,2.3378,4,"Reproductive","1"
"9","N1","Control","N1B1",0.016,1.3687,3,"Reproductive","1"
"10","N1","Control","N1B1",0.031,2.2918,4,"Reproductive","1"
"11","N1","6-azacytidine","N1C1",0.0149,1.5078,3,"Reproductive","1"
"12","N1","6-azacytidine","N1C1",0.0526,2.1912,4,"Reproductive","1"
"13","N1","6-azacytidine","N1C1",0.0144,1.7659,3,"Reproductive","1"
"14","N1","6-azacytidine","N1C1",0.0365,2.2255,4,"Reproductive","1"
"15","N1","6-azacytidine","N1C1",0.0327,2.1206,3,"Reproductive","1"
"16","N1","Decitabine","N1A2",0.0119,1.2138,3,"Reproductive","1"
"17","N1","Decitabine","N1A2",0.0219,1.471,3,"Reproductive","1"
"18","N1","Decitabine","N1A2",0.0066,1.1546,1,"Sterile","1"
"19","N1","Decitabine","N1A2",0.0131,1.127,3,"Reproductive","1"
"20","N1","Decitabine","N1A2",0,0,0,"Sterile","1"
"21","N1","Control","N1B2",0,0,0,"Sterile","1"
"22","N1","Control","N1B2",0.0396,2.1221,4,"Reproductive","1"
"23","N1","Control","N1B2",0.0361,2.1481,4,"Reproductive","1"
"24","N1","Control","N1B2",0.0322,2.2329,4,"Reproductive","1"
"25","N1","Control","N1B2",0.0118,1.3826,3,"Reproductive","1"
"26","N1","6-azacytidine","C2",0.0118,2.2615,4,"Reproductive","1"
"27","N1","6-azacytidine","C2",0.0392,2.4218,4,"Reproductive","1"
"28","N1","6-azacytidine","C2",0.0189,1.6953,3,"Reproductive","1"
"29","N1","6-azacytidine","C2",0,0,0,"Sterile","1"
"30","N1","6-azacytidine","C2",0.0109,0.8798,3,"Reproductive","1"
"31","N1","Decitabine","A3",0.0044,0,0,"Sterile","1"
"32","N1","Decitabine","A3",0.0118,1.1417,3,"Reproductive","1"
"33","N1","Decitabine","A3",0.0477,2.501,4,"Reproductive","1"
"34","N1","Decitabine","A3",0.0153,1.4371,3,"Reproductive","1"
"35","N3","Decitabine","A1",0.0292,2.1601,3,"Reproductive","1"
"36","N3","Decitabine","A1",0.0233,1.878,3,"Reproductive","1"
"37","N3","Decitabine","A1",0.0273,2.201,4,"Reproductive","1"
"39","N3","Control","B1",0.0078,0,1,"Sterile","1"
"40","N3","Control","B1",0.0161,1.1017,3,"Reproductive","1"
"41","N3","Control","B1",0.0064,0.769,1,"Sterile","1"
"42","N3","Control","B1",0.0118,1.1815,3,"Reproductive","1"
"43","N3","6-azacytidine","C1",0.0131,2.2595,3,"Reproductive","1"
"44","N3","6-azacytidine","C1",0.032,2.1978,4,"Reproductive","1"
"45","N3","6-azacytidine","C1",0.0502,2.106,4,"Reproductive","1"
"46","N3","6-azacytidine","C1",0.0294,2.1075,3,"Reproductive","1"
"47","N3","6-azacytidine","C1",0.0347,2.2505,4,"Reproductive","1"
"48","N3","Decitabine","A2",0.0021,0,0,"Sterile","1"
"49","N3","Decitabine","A2",0.0156,1.1565,3,"Reproductive","1"
"50","N3","Decitabine","A2",0.015,1.368,3,"Reproductive","1"
"51","N3","Decitabine","A2",0.013,1.1645,3,"Reproductive","1"
"53","N3","Control","B2",0.0479,2.1928,4,"Reproductive","1"
"54","N3","Control","B2",0.0157,1.7917,3,"Reproductive","1"
"55","N3","Control","B2",0.0279,1.7694,3,"Reproductive","1"
"56","N3","Control","B2",0.01,1.0677,3,"Reproductive","1"
"57","N3","Control","B2",0.0122,1.3078,3,"Reproductive","1"
"58","N3","6-azacytidine","C2",0.041,2.0025,4,"Reproductive","1"
"59","N3","6-azacytidine","C2",0.0177,2.1495,4,"Reproductive","1"
"60","N3","6-azacytidine","C2",0.0094,2.135,3,"Reproductive","1"
"61","N3","6-azacytidine","C2",0.0068,0.554,1,"Sterile","1"
"62","N3","6-azacytidine","C2",0.0122,2.1599,4,"Reproductive","1"
"64","N3","Decitabine","A3",0.0177,2.1087,3,"Reproductive","1"
"65","N3","Decitabine","A3",0.0122,1.8302,4,"Reproductive","1"
"66","N3","Decitabine","A3",0.002,0.573,1,"Sterile","1"
"68","N3","Control","B3",0.0114,1.4102,3,"Reproductive","1"
"70","N3","Control","B3",0.0114,1.064,3,"Reproductive","1"
"71","N3","Control","B3",0.0117,0.9383,3,"Reproductive","1"
"72","N4","Decitabine","A1.2",0.0035,0,1,"Sterile","2"
"73","N4","Decitabine","A1.2",0.0092,0.547,1,"Sterile","2"
"74","N4","Decitabine","A1.2",0.0086,0.6887,1,"Sterile","2"
"75","N4","Decitabine","A1.2",0.007,0.6582,1,"Sterile","2"
"76","N4","Control","B1",0.005,0.2857,1,"Sterile","2"
"77","N4","Control","B2",0.006,0.6195,1,"Sterile","2"
"78","N4","Control","B3",0.0249,2.025,4,"Reproductive","2"
"79","N4","Control","B4",0.0487,2.3192,4,"Reproductive","2"
"80","N4","6-azacytidine","C1",0.0176,1.4073,3,"Reproductive","2"
"81","N4","6-azacytidine","C1",0.0347,1.9045,3,"Reproductive","2"
"82","N4","6-azacytidine","C1",0.0177,2.0088,4,"Reproductive","2"
"83","N4","6-azacytidine","C1",0.0216,1.1272,3,"Reproductive","2"
"87","N4","Decitabine","A2",0.0128,1.047,3,"Reproductive","2"
"88","N4","Control","B2",0.0326,2.4645,4,"Reproductive","2"
"89","N4","Control","B2",0.0188,2.4187,3,"Reproductive","2"
"91","N4","Control","B2",0.0237,1.3818,3,"Reproductive","2"
"92","N4","Control","B2",0.0306,2.122,4,"Reproductive","2"
"94","N4","6-azacytidine","C2",0.0188,1.3972,3,"Reproductive","2"
"95","N4","6-azacytidine","C2",0.0051,0.6183,1,"Sterile","2"
"96","N4","6-azacytidine","C2",0.0022,0,0,"Sterile","2"
"97","N4","6-azacytidine","C2",0.0123,1.0735,3,"Reproductive","2"
"98","N4","Decitabine","A3",0.0083,1.0455,3,"Reproductive","2"
"100","N4","Decitabine","A3",0.0139,1.0677,3,"Reproductive","2"
"101","N4","Decitabine","A3",0.0171,1.5925,3,"Reproductive","2"
"102","N4","Control","B3",0.0159,1.7438,3,"Reproductive","2"
"103","N4","Control","B3",0.0188,1.7987,3,"Reproductive","2"
"104","N4","Control","B3",0.0159,1.5482,3,"Reproductive","2"
